Payment Method,Fuel Type,Charge Type,Allowance,Cap Period,Start Date,End Date,Cost Value
All,Gas,SC,GGL,April 2023 - June 2023,2023-04-01,2023-06-01,0.44530000000000003
All,Electricity - Single-Rate ,UR,RO,July 2023 - September 2023,2023-07-01,2023-09-01,27.675689999999996
All,Electricity - Single-Rate ,UR,FiT,July 2023 - September 2023,2023-07-01,2023-09-01,6.449515199834506
All,Electricity - Single-Rate ,UR,ECO,July 2023 - September 2023,2023-07-01,2023-09-01,7.123925238994195
All,Electricity - Single-Rate ,SC,WHD,July 2023 - September 2023,2023-07-01,2023-09-01,10.2986378209065
All,Electricity - Single-Rate ,UR,WHD (unit rate),July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Electricity - Single-Rate ,UR,AAHEDC,July 2023 - September 2023,2023-07-01,2023-09-01,0.45951829137287103
All,Electricity - Single-Rate ,UR,NCC,July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Electricity - Single-Rate ,UR,nRAB,July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Electricity - Multi-Register ,UR,RO,July 2023 - September 2023,2023-07-01,2023-09-01,27.675689999999996
All,Electricity - Multi-Register ,UR,FiT,July 2023 - September 2023,2023-07-01,2023-09-01,6.449515199834506
All,Electricity - Multi-Register ,UR,ECO,July 2023 - September 2023,2023-07-01,2023-09-01,7.123925238994195
All,Electricity - Multi-Register ,SC,WHD,July 2023 - September 2023,2023-07-01,2023-09-01,10.2986378209065
All,Electricity - Multi-Register ,UR,WHD (unit rate),July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Electricity - Multi-Register ,UR,AAHEDC,July 2023 - September 2023,2023-07-01,2023-09-01,0.45951829137287103
All,Electricity - Multi-Register ,UR,NCC,July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Electricity - Multi-Register ,UR,nRAB,July 2023 - September 2023,2023-07-01,2023-09-01,0.0
All,Gas,UR,ECO,July 2023 - September 2023,2023-07-01,2023-09-01,1.933978746453737
